 JDAY =    49.1378851548548     
QIN(JB):,.530000,.000000,.000000,.000000,
QTR:,.000000,.000000,.000000,
QDT(JB):,.000000,.000000,.000000,.000000,
QWD:,
QSUM(JB):,.000000,.000000,.000000,.000000,
QGT:,
QPI:,
QPU:,
QSP:,

SEG,BRANCH,ACTIVE,KT,WSE,SZ,Z,Q,QC,QERR,H2KT,H1KT,BHR1,BHR2,T1,T2,SUKT,UKT,AVHR,SELWS
69,1,A,10,.104900,-.204915,-.204900,.841166,.841076,.010674,.304915,.304900,7.782271,7.782686,17.499135,17.499135,.093041,.092983,.304688,.104915
70,1,A,10,.104476,-.204488,-.204476,.845418,.846743,-.156750,.304488,.304476,7.570295,7.570659,17.503099,17.503099,.102864,.102876,.304063,.104488
71,1,A,10,.103651,-.203662,-.203651,.852103,.851997,.012529,.303662,.303651,8.005775,8.006145,17.506545,17.506545,.093202,.093216,.303334,.103662
72,1,A,10,.103017,-.203031,-.203017,.857913,.857842,.008264,.303031,.303017,7.236646,7.237001,17.510555,17.510555,.098023,.098019,.302853,.103031
73,1,A,10,.102688,-.202703,-.202688,.862700,.862658,.004844,.302703,.302688,5.849991,5.850255,17.513551,17.513551,.123886,.123778,.302210,.102703
74,1,A,10,.101731,-.201741,-.201731,.863580,.865739,-.249997,.301741,.301731,6.493145,6.493412,17.515866,17.515866,.117653,.117737,.301347,.101741
75,1,A,10,.100964,-.200977,-.200964,.870747,.870680,.007697,.300977,.300964,7.073716,7.074043,17.518475,17.518475,.102034,.102047,.300823,.100977
76,1,A,10,.100683,-.200695,-.200683,.875586,.875540,.005247,.300695,.300683,5.782019,5.782271,17.521100,17.521100,.123438,.123456,.300362,.100695
77,1,A,10,.100042,-.200053,-.200042,.878288,.878245,.004876,.300053,.300042,4.583403,4.583590,17.523024,17.523024,.159179,.159199,.299148,.100053
78,1,A,10,.098254,-.198266,-.198254,.881169,.881131,.004321,.298266,.298254,5.778219,5.778473,17.524569,17.524569,.133367,.133264,.297839,.098266
79,1,A,10,.097424,-.197437,-.197424,.884049,.885852,-.203968,.297437,.297424,8.100459,8.100841,17.526545,17.526545,.095855,.095902,.297411,.097437
80,1,A,10,.097398,-.197412,-.197398,.892672,.892590,.009140,.297412,.297398,7.914201,7.914585,17.529998,17.529998,.093760,.093767,.297298,.097412
81,1,A,10,.097198,-.197211,-.197198,.897429,.897369,.006785,.297211,.297198,6.171614,6.171893,17.533198,17.533198,.122176,.122170,.296693,.097211
82,1,A,10,.096187,-.196199,-.196187,.901064,.900963,.011177,.296199,.296187,7.358254,7.358574,17.535572,17.535572,.106010,.106022,.295738,.096199
83,1,A,10,.095288,-.195301,-.195288,.907091,.906980,.012251,.295301,.295288,8.862803,8.863213,17.539499,17.539499,.085193,.085194,.295256,.095301
84,1,A,10,.095224,-.195237,-.195224,.913331,.913242,.009832,.295237,.295224,7.898452,7.898801,17.544122,17.544122,.091665,.091656,.295066,.095237
85,1,A,10,.094908,-.194919,-.194908,.917561,.917469,.009956,.294919,.294908,7.156128,7.156418,17.548062,17.548062,.101415,.101423,.294594,.094919
86,1,A,10,.094280,-.194292,-.194280,.922010,.921951,.006395,.294292,.294280,6.457807,6.458086,17.552099,17.552099,.112768,.112770,.294048,.094292
87,1,A,10,.093816,-.193828,-.193816,.925927,.925851,.008279,.293828,.293816,6.437056,6.437323,17.555052,17.555052,.115320,.115320,.293339,.093828
88,1,A,10,.092863,-.192873,-.192863,.930019,.929966,.005683,.292873,.292863,6.657085,6.657359,17.558207,17.558207,.108914,.108897,.292712,.092873
89,1,A,10,.092562,-.192574,-.192562,.934104,.934071,.003521,.292574,.292562,5.195830,5.196097,17.561042,17.561042,.146248,.146075,.292029,.092574
90,1,A,10,.091497,-.191513,-.191497,.938002,.937955,.005086,.291513,.291497,3.347634,3.347826,17.562871,17.562871,.245784,.244801,.288697,.091513
91,1,A,10,.085897,-.185908,-.185897,.939979,.939829,.015878,.285908,.285897,2.268454,2.268579,17.563852,17.563852,.390214,.389360,.273701,.085908
92,1,A,10,.061506,-.161514,-.161506,.942138,.941707,.045794,.261514,.261506,3.511043,3.511122,17.564378,17.564378,.265464,.265332,.255659,.061514
93,1,A,10,.049812,-.149813,-.149812,.941453,.942183,-.077500,.249813,.249812,6.550139,6.550321,17.565265,17.565265,.136648,.136692,.249843,.049813
94,1,A,10,.049874,-.149883,-.149874,.947180,.947147,.003472,.249883,.249874,8.208397,8.208746,17.566778,17.566778,.096485,.096505,.249861,.049883
95,1,A,10,.049849,-.149859,-.149849,.952698,.952663,.003637,.249859,.249849,7.493528,7.493842,17.568501,17.568501,.099740,.099743,.249692,.049859
96,1,A,10,.049535,-.149543,-.149535,.956655,.956585,.007239,.249543,.249535,8.046797,8.047106,17.569765,17.569765,.099713,.099711,.249043,.049543
97,1,A,10,.048551,-.148559,-.148551,.961940,.961920,.002149,.248559,.248551,7.840875,7.841166,17.571137,17.571137,.104744,.104681,.248337,.048559
98,1,A,10,.048124,-.148132,-.148124,.965349,.965314,.003656,.248132,.248124,5.081046,5.081252,17.572113,17.572113,.157175,.157182,.247081,.048132
99,1,A,10,.046038,-.146048,-.146038,.968240,.968116,.012796,.246048,.246038,3.539356,3.539522,17.572725,17.572725,.251281,.251169,.241091,.046048
100,1,A,10,.036144,-.136151,-.136144,.970580,.970309,.027943,.236151,.236144,4.168501,4.168612,17.573092,17.573092,.227049,.226951,.231795,.036151
101,1,A,10,.027446,-.127449,-.127446,.971496,.971460,.003768,.227449,.227446,5.700538,5.700699,17.573531,17.573531,.155667,.155644,.226748,.027449
102,1,A,10,.026050,-.126057,-.126050,.975149,.975126,.002338,.226057,.226050,6.042788,6.042999,17.574166,17.574166,.136937,.136921,.225518,.026057
103,1,A,10,.024985,-.124990,-.124985,.974814,.977778,-.304064,.224990,.224985,6.062820,6.062973,17.574832,17.574832,.141509,.141513,.224127,.024990
104,1,A,10,.023269,-.123273,-.123269,.979783,.979716,.006865,.223273,.223269,6.517869,6.518055,17.575493,17.575493,.130300,.130325,.222433,.023273
105,1,A,10,.021597,-.121603,-.121597,.983434,.983380,.005516,.221603,.221597,6.928495,6.928728,17.576209,17.576209,.119198,.119194,.221025,.021603
106,1,A,10,.020453,-.120459,-.120453,.986769,.986715,.005554,.220459,.220453,6.954384,6.954596,17.576968,17.576968,.117250,.117251,.219897,.020459
107,1,A,10,.019341,-.119346,-.119341,.989808,.989750,.005810,.219346,.219341,7.019021,7.019235,17.577709,17.577709,.111183,.111191,.218806,.019346
108,1,A,10,.018271,-.118276,-.118271,.993195,.993135,.006063,.218276,.218271,7.517509,7.517743,17.578485,17.578485,.103968,.103968,.217773,.018276
109,1,A,10,.017275,-.117280,-.117275,.996807,.996783,.002358,.217280,.217275,6.886790,6.887014,17.579347,17.579347,.112710,.112637,.216851,.017280
110,1,A,10,.016427,-.116433,-.116427,.999906,.999845,.006059,.216433,.216427,5.900805,5.900931,17.580046,17.580046,.140404,.140389,.215316,.016433
111,1,A,10,.014205,-.114206,-.114205,1.000657,1.000581,.007635,.214206,.214205,5.901305,5.901382,17.580642,17.580642,.150248,.150262,.212913,.014206
112,1,A,10,.011621,-.111624,-.111621,1.002226,1.002168,.005720,.211624,.211621,6.103394,6.103483,17.581200,17.581200,.141615,.141477,.210726,.011624
113,1,A,10,.009831,-.109833,-.109831,1.003268,1.003266,.000133,.209833,.209831,5.661980,5.661980,17.581859,17.581859,.139487,.139262,.209554,.009833
114,1,A,10,.009276,-.109273,-.109276,1.002216,1.002188,.002862,.209273,.209276,6.022517,6.022331,17.582430,17.582430,.129273,.129206,.208752,.009273
115,1,A,10,.008228,-.108219,-.108228,.997681,.997694,-.001302,.208219,.208228,6.929728,6.929294,17.583270,17.583270,.109832,.109728,.208190,.008219
116,1,A,10,.008151,-.108136,-.108151,.985138,.989192,-.411580,.208136,.208151,6.959851,6.959163,17.584266,17.584266,.111310,.111244,.208006,.008136
117,1,A,10,.007861,-.107839,-.107861,.977089,.977052,.003741,.207839,.207861,8.211156,8.209990,17.585336,17.585336,.092404,.092256,.207677,.007839
