$1980 DeGray Reservoir meteorology                                                    ,,,,,
,,,,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD
38.25,-3.9,-8.3,2.7,0.87,0
38.375,-1.7,-7.2,3.8,1.05,10
38.5,2.2,-5.6,5.3,1.57,10
38.625,2.2,-6.1,5.3,1.57,10
38.75,1.7,-5,6.1,1.75,10
38.875,1.1,-5,5.3,1.4,10
39,1.7,-4.4,3.4,1.05,10
39.125,0.6,-2.8,6.4,1.4,10
39.25,1.1,-2.8,4.5,1.22,10
39.375,1.1,-2.8,3.4,0.7,10
39.5,1.7,-1.7,2.3,1.92,10
39.625,1.7,-2.2,2.3,0.35,10
39.75,1.1,-1.1,5.3,0.87,10
39.875,0.6,-2.2,6.1,0.35,10
40,0,-2.8,3,0.35,10
40.125,0.6,-2.2,4.5,0.17,10
40.25,0.6,-2.2,3,0.17,10
40.375,0,-4.4,6.4,0.52,10
40.5,0.6,-4.4,4.5,0.52,10
40.625,0,-5.6,3.4,0.17,10
40.75,0,-3.9,4.5,6.29,10
40.875,0,-5.6,3.4,6.12,10
41,-2.2,-7.2,4.5,0.17,4
41.125,-4.4,-8.3,3,6.12,0
41.25,-5,-8.9,2.7,5.94,0
41.375,-3.3,-9.4,3.4,0.52,0
41.5,-1.1,-7.8,0,0,4
41.625,-0.6,-7.2,2.3,3.67,10
41.75,-1.1,-6.7,2.7,4.2,10
41.875,-2.2,-6.7,3,3.67,2
42,-2.8,-7.2,2.7,4.02,0
42.125,-2.8,-6.1,2.7,4.55,10
42.25,-2.8,-5.6,4.5,4.37,10
42.375,-1.7,-5.6,3.4,4.55,10
42.5,3.9,-1.7,3,4.37,7
42.625,6.7,-1.7,2.7,4.37,4
42.75,4.4,-2.2,3,4.2,10
42.875,1.7,-2.8,2.7,4.2,8
43,1.1,-2.8,2.3,5.77,4
43.125,-1.1,-7.2,3.4,6.29,0
43.25,-2.2,-9.4,2.7,0.35,0
43.375,-1.7,-10.6,3,0.52,7
43.5,1.1,-9.4,1.9,1.57,7
43.625,3.9,-8.3,2.7,2.45,7
43.75,1.1,-7.8,3,2.27,8
43.875,-1.7,-7.2,2.3,2.1,0
44,-2.2,-7.2,0,0,0
44.125,-3.9,-8.3,0,0,0
44.25,-4.4,-8.3,0,0,0
44.375,0,-3.9,1.9,2.45,0
44.5,6.7,-3.9,3,2.1,0
44.625,10.6,-1.1,4.5,1.92,2
44.75,10,1.1,2.3,2.27,10
44.875,5,0.6,0,0,3
45,6.1,1.1,0,0,4
45.125,2.8,-1.1,0,0,8
45.25,1.1,-1.7,0,0,8
45.375,5.6,1.1,1.9,3.32,8
45.5,16.7,5.6,2.7,3.15,1
45.625,17.2,8.3,3.8,1.92,10
45.75,13.9,8.3,2.7,2.62,10
45.875,12.8,8.9,3,2.45,10
46,11.7,8.3,1.9,2.8,10
46.125,13.3,9.4,3.4,3.67,10
46.25,13.9,9.4,3.4,3.85,10
46.375,15.6,11.1,3.8,4.02,10
46.5,16.7,12.8,3,4.02,10
46.625,16.7,13.3,3.4,4.02,10
46.75,14.4,10,6.4,5.42,10
46.875,7.8,3.3,6.8,5.07,10
47,4.4,-1.7,6.8,5.77,10
