$,
JDAY,     TDH
-1.299999784,8
-1.295833117,8
-1.29166645,8
-1.287499783,8
-1.283333116,8
-1.279166449,8
-1.274999782,8
-1.270833115,8
-1.266666448,8
-1.262499781,8
-1.258333114,8
-1.254166447,8
-1.24999978,8
-1.245833113,8
-1.241666446,8
-1.237499779,8
-1.233333112,8
-1.229166445,8
-1.224999778,8
-1.220833111,8
-1.216666444,8
-1.212499777,8
-1.20833311,8
-1.204166443,8
-1.199999776,8
-1.195833109,8
-1.191666442,8
-1.187499775,8
-1.183333108,8
-1.179166441,8
-1.174999774,8
-1.170833107,8
-1.16666644,8
-1.162499773,8
-1.158333106,8
-1.154166439,8
-1.149999772,8
-1.145833105,8
-1.141666438,8
-1.137499771,8
-1.133333104,8
-1.129166437,8
-1.12499977,8
-1.120833103,8
-1.116666436,8
-1.112499769,8
-1.108333102,8
-1.104166435,8
-1.099999768,8
-1.095833101,8
-1.091666434,8
-1.087499767,8
-1.0833331,8
-1.079166433,8
-1.074999766,8
-1.070833099,8
-1.066666432,8
-1.062499765,8
-1.058333098,8
-1.054166431,8
-1.049999764,8
-1.045833097,8
-1.04166643,8
-1.037499763,8
-1.033333096,8
-1.029166429,8
-1.024999762,8
-1.020833095,8
-1.016666428,8
-1.012499761,8
-1.008333094,8
-1.004166427,8
-0.99999976,8
-0.995833093,8
-0.991666426,8
-0.987499759,8
-0.983333092,8
-0.979166425,8
-0.974999758,8
-0.970833091,8
-0.966666424,8
-0.962499757,8
-0.95833309,8
-0.954166423,8
-0.949999756,8
-0.945833089,8
-0.941666422,8
-0.937499755,8
-0.933333088,8
-0.929166421,8
-0.924999754,8
-0.920833087,8
-0.91666642,8
-0.912499753,8
-0.908333086,8
-0.904166419,8
-0.899999752,8
-0.895833085,8
-0.891666418,8
-0.887499751,8
-0.883333084,8
-0.879166417,8
-0.87499975,8
-0.870833083,8
-0.866666416,8
-0.862499749,8
-0.858333082,8
-0.854166415,8
-0.849999748,8
-0.845833081,8
-0.841666414,8
-0.837499747,8
-0.83333308,8
-0.829166413,8
-0.824999746,8
-0.820833079,8
-0.816666412,8
-0.812499745,8
-0.808333078,8
-0.804166411,8
-0.799999744,8
-0.795833077,8
-0.79166641,8
-0.787499743,8
-0.783333076,8
-0.779166409,8
-0.774999742,8
-0.770833075,8
-0.766666408,8
-0.762499741,8
-0.758333074,8
-0.754166407,8
-0.74999974,8
-0.745833073,8
-0.741666406,8
-0.737499739,8
-0.733333072,8
-0.729166405,8
-0.724999738,8
-0.720833071,8
-0.716666404,8
-0.712499737,8
-0.70833307,8
-0.704166403,8
-0.699999736,8
-0.695833069,8
-0.691666402,8
-0.687499735,8
-0.683333068,8
-0.679166401,8
